id,building,room_number,category,name,capacity,available_capacity_pct,academic_period,has_schedule,status,total_courses,total_allocations
1008992,BLOCO C,107,SALA DE AULA,BLOCO C SALA - 107,50,40,2026/2,True,active,6,20
1008993,BLOCO C,108,SALA DE AULA,BLOCO C SALA - 108,50,40,2026/2,True,active,6,24
1008994,BLOCO C,109,SALA DE AULA,BLOCO C SALA - 109,50,40,2026/2,True,active,8,32
1008995,BLOCO C,110,SALA DE AULA,BLOCO C SALA - 110,50,40,2026/2,True,active,10,40
1008996,BLOCO C,111,OUTRO,BLOCO C LEPEM - 111,50,40,2026/2,True,active,3,14
1008997,BLOCO D,001,SALA DE AULA,BLOCO D SALA - 001,50,40,2026/2,True,active,17,69
1008998,BLOCO D,002,SALA DE AULA,BLOCO D SALA - 002,50,40,2026/2,True,active,18,66
1008999,UNKNOWN,1008999,OUTRO,ESPACO_1008999,50,40,2026/2,False,no_schedule,0,0
1009000,UNKNOWN,1009000,OUTRO,ESPACO_1009000,50,40,2026/2,False,no_schedule,0,0
1009001,BLOCO D,005,SALA DE AULA,BLOCO D SALA - 005,51,40,2026/2,True,active,14,50
1009002,BLOCO D,006,SALA DE AULA,BLOCO D SALA - 006,50,40,2026/2,True,active,13,48
1009003,BLOCO D,007,SALA DE AULA,BLOCO D SALA - 007,35,28,2026/2,True,active,11,46
1009004,BLOCO D,008,SALA DE AULA,BLOCO D SALA - 008,80,64,2026/2,True,active,15,62
1009005,BLOCO D,101,SALA DE AULA,BLOCO D SALA - 101,80,64,2026/2,True,active,10,40
1009006,BLOCO D,102,SALA DE AULA,BLOCO D SALA - 102,35,28,2026/2,True,active,9,45
1009007,BLOCO D,103,SALA DE AULA,BLOCO D SALA - 103,50,40,2026/2,True,active,18,68
1009008,BLOCO D,104,SALA DE AULA,BLOCO D SALA - 104,50,40,2026/2,True,active,5,20
1009009,BLOCO D,105,LABORATORIO,BLOCO D LAB SIST II - 105,50,40,2026/2,True,active,2,8
1009010,BLOCO D,106,SALA DE AULA,BLOCO D SALA - 106,50,40,2026/2,True,active,19,68
1009011,BLOCO D,107,SALA DE AULA,BLOCO D SALA - 107,50,40,2026/2,True,active,15,65
1009012,BLOCO D,108,SALA DE AULA,BLOCO D SALA - 108,50,40,2026/2,True,active,13,56
1009013,UNKNOWN,1009013,OUTRO,ESPACO_1009013,50,40,2026/2,False,no_schedule,0,0
1009014,BLOCO B,BLOCO B LABCONT MULTICURSOS,LABORATORIO,BLOCO B LABCONT MULTICURSOS,50,40,2026/2,True,active,9,36
